id,country,age,gender,EDUCATION_LEVEL,wtp_access,wtp_private,wtp_amount_1,wtp_amount_2a,wtp_amount_2b,geq_taxes_0,geq_taxes_1,geq_taxes_2a,geq_taxes_2b,geq_ticket_0,geq_ticket_1,geq_ticket_2a,geq_ticket_2b,wtpVal,taxesExtra,ticketExtra,wtpVal_PPP,taxesExtra_PPP,ticketExtra_PPP,WTP_R1,WTP_R2_aux,geq_taxes_R1,geq_taxes_R2_aux,geq_ticket_R1,geq_ticket_R2_aux,WTP_R2,geq_taxes_R2,geq_ticket_R2,WTP_BD1,WTP_BD2,geq_taxes_BD1,geq_taxes_BD2,geq_ticket_BD1,geq_ticket_BD2,WTP_BD1_PPP,WTP_BD2_PPP,geq_taxes_BD1_PPP,geq_taxes_BD2_PPP,geq_ticket_BD1_PPP,geq_ticket_BD2_PPP
1658,Canada,27,Female,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,No,NA,NA,NA,No,NA,NA,NA,210,NA,NA,200,NA,NA,1,Yes,NA,NA,NA,NA,1,NA,NA,210,420,NA,NA,NA,NA,200,400,NA,NA,NA,NA
1659,Canada,49,Female,Less than primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1661,Canada,28,Female,Less than primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1662,Canada,46,Female,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,DK,No,NA,NA,NA,No,NA,NA,NA,415,NA,NA,400,NA,NA,0,DK,NA,NA,NA,NA,NA,NA,NA,415,207.5,NA,NA,NA,NA,400,200,NA,NA,NA,NA
1663,Canada,41,Female,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,No,NA,DK,NA,NA,NA,NA,5205,NA,NA,5000,NA,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,5205,10410,NA,NA,NA,NA,5000,10000,NA,NA
1666,Canada,41,Female,University completed,Vaccines are only available for private purchase,Yes,Yes,No,NA,Yes,No,NA,Yes,No,NA,NA,NA,210,105,NA,200,100,NA,1,No,0,Yes,NA,NA,0,1,NA,210,420,105,52.5,NA,NA,200,400,100,50,NA,NA
1667,Canada,72,Female,Less than primary completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,DK,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1668,Canada,50,Female,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,Yes,Yes,Yes,NA,DK,NA,NA,NA,1040,10,NA,1000,10,NA,0,No,1,Yes,NA,NA,0,1,NA,1040,520,10,20,NA,NA,1000,500,10,20,NA,NA
1673,Canada,57,Female,Less than primary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1675,Canada,60,Female,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,DK,NA,NA,NA,Yes,Yes,No,NA,NA,NA,20,NA,NA,20,NA,NA,NA,NA,1,No,NA,NA,0,NA,NA,NA,NA,20,40,NA,NA,NA,NA,20,40
1676,Canada,48,Female,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,No,NA,No,No,NA,NA,NA,1040,5205,NA,1000,5000,NA,0,No,0,No,NA,NA,0,0,NA,1040,520,5205,2602.5,NA,NA,1000,500,5000,2500,NA,NA
1677,Canada,65,Female,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,No,NA,No,Yes,Yes,Yes,NA,50,5205,20,50,5000,20,1,Yes,0,No,1,Yes,1,0,1,50,100,5205,2602.5,20,40,50,100,5000,2500,20,40
1683,Canada,53,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1685,Canada,51,Female,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1686,Canada,73,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1689,Canada,62,Female,Less than primary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,DK,NA,NA,NA,NA,10,NA,NA,10,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,10,20,NA,NA,NA,NA,10,20,NA,NA
1690,Canada,52,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,DK,NA,Yes,Yes,Yes,NA,NA,1040,50,NA,1000,50,NA,NA,1,DK,1,Yes,NA,NA,1,NA,NA,1040,2080,50,100,NA,NA,1000,2000,50,100
1691,Canada,68,Female,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,No,NA,Yes,No,NA,NA,NA,NA,5205,NA,NA,5000,NA,NA,NA,0,Yes,NA,NA,NA,1,NA,NA,NA,5205,2602.5,NA,NA,NA,NA,5000,2500,NA,NA
1695,Canada,60,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1699,Canada,63,Female,University completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1705,Canada,56,Female,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,415,105,10,400,100,10,0,No,1,Yes,1,Yes,0,1,1,415,207.5,105,210,10,20,400,200,100,200,10,20
1707,Canada,58,Female,Less than primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,10,NA,NA,10,NA,NA,NA,NA,1,Yes,NA,NA,1,NA,NA,NA,NA,10,20,NA,NA,NA,NA,10,20
1714,Canada,65,Female,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,10,NA,NA,10,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,10,20,NA,NA,NA,NA,10,20,NA,NA
1715,Canada,60,Female,Less than primary completed,Do not know,Do not know,NA,NA,NA,DK,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1718,Canada,63,Female,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,DK,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1723,Canada,76,Female,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,Yes,Yes,NA,Yes,Yes,DK,NA,1040,105,105,1000,100,100,0,No,1,Yes,1,DK,0,1,NA,1040,520,105,210,105,210,1000,500,100,200,100,200
1726,Canada,68,Female,University completed,Do not know,Do not know,NA,NA,NA,DK,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1732,Canada,58,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,DK,NA,DK,NA,NA,NA,NA,105,NA,NA,100,NA,NA,NA,1,DK,NA,NA,NA,NA,NA,NA,NA,105,210,NA,NA,NA,NA,100,200,NA,NA
1734,Canada,56,Female,University completed,Do not know,No,NA,NA,NA,RS,NA,NA,NA,Yes,Yes,No,NA,NA,NA,105,NA,NA,100,NA,NA,NA,NA,1,No,NA,NA,0,NA,NA,NA,NA,105,210,NA,NA,NA,NA,100,200
1738,Canada,68,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,Yes,No,NA,Yes,NA,5205,50,NA,5000,50,NA,NA,0,No,0,Yes,NA,0,1,NA,NA,5205,2602.5,50,25,NA,NA,5000,2500,50,25
1739,Canada,52,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,No,NA,NA,105,10,NA,100,10,NA,NA,1,Yes,1,No,NA,1,0,NA,NA,105,210,10,20,NA,NA,100,200,10,20
1743,Canada,61,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,Yes,No,NA,Yes,NA,520,210,NA,500,200,NA,NA,1,No,0,Yes,NA,0,1,NA,NA,520,1040,210,105,NA,NA,500,1000,200,100
1744,Canada,55,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,Yes,No,NA,Yes,NA,NA,105,NA,NA,100,NA,NA,NA,NA,0,Yes,NA,NA,1,NA,NA,NA,NA,105,52.5,NA,NA,NA,NA,100,50
1745,Canada,68,Female,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,Yes,Yes,No,NA,No,NA,NA,NA,105,10,NA,100,10,NA,0,No,1,No,NA,NA,0,0,NA,105,52.5,10,20,NA,NA,100,50,10,20,NA,NA
1746,Canada,58,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,No,NA,NA,NA,NA,520,NA,NA,500,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,520,260,NA,NA,NA,NA,500,250,NA,NA
1747,Canada,61,Female,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,DK,NA,105,105,210,100,100,200,1,Yes,1,Yes,1,DK,1,1,NA,105,210,105,210,210,420,100,200,100,200,200,400
1752,Canada,58,Female,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,No,NA,50,10,50,50,10,50,1,Yes,1,Yes,1,No,1,1,0,50,100,10,20,50,100,50,100,10,20,50,100
1755,Canada,72,Female,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,Yes,No,NA,Yes,NA,50,210,NA,50,200,NA,NA,1,Yes,0,Yes,NA,1,1,NA,NA,50,100,210,105,NA,NA,50,100,200,100
1757,Canada,52,Female,University completed,Do not know,Do not know,NA,NA,NA,Yes,DK,NA,NA,No,NA,NA,NA,NA,10,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,10,NA,NA,NA
1759,Canada,75,Female,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1765,Canada,51,Female,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,No,NA,No,No,NA,NA,NA,NA,5205,NA,NA,5000,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,5205,2602.5,NA,NA,NA,NA,5000,2500,NA,NA
1773,Canada,70,Female,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,RS,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1775,Canada,55,Female,University completed,Do not know,No,NA,NA,NA,Yes,No,NA,No,DK,NA,NA,NA,NA,520,NA,NA,500,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,520,260,NA,NA,NA,NA,500,250,NA,NA
1777,Canada,66,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,DK,NA,NA,NA,NA,10,NA,NA,10,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,10,20,NA,NA,NA,NA,10,20,NA,NA
1780,Canada,58,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1781,Canada,53,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,DK,NA,NA,RS,NA,NA,NA,NA,50,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,50,NA,NA,NA
1787,Canada,53,Female,University completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,DK,NA,NA,NA,Yes,No,NA,No,NA,NA,210,NA,NA,200,NA,NA,NA,NA,0,No,NA,NA,0,NA,NA,NA,NA,210,105,NA,NA,NA,NA,200,100
1793,Canada,71,Female,Less than primary completed,Vaccines only made available by government at low or no cost,Yes,Yes,No,NA,DK,NA,NA,NA,No,NA,NA,NA,210,NA,NA,200,NA,NA,1,No,NA,NA,NA,NA,0,NA,NA,210,420,NA,NA,NA,NA,200,400,NA,NA,NA,NA
1796,Canada,61,Female,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,DK,NA,NA,NA,NA,105,NA,NA,100,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,105,210,NA,NA,NA,NA,100,200,NA,NA
1797,Canada,67,Female,Less than primary completed,Do not know,No,NA,NA,NA,RS,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1798,Canada,52,Female,University completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,No,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1806,Canada,51,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Colombia,25,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,DK,No,NA,DK,Yes,Yes,No,NA,874000,44000,17000,1000,50,20,NA,NA,0,DK,1,No,NA,NA,0,874000,NA,44000,22000,17000,34000,1000,NA,50,25,20,40
2,Colombia,21,Masculino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,No,No,NA,No,No,NA,NA,NA,175000,87000,NA,200,100,NA,0,No,0,No,NA,NA,0,0,NA,175000,87500,87000,43500,NA,NA,200,100,100,50,NA,NA
3,Colombia,35,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,44000,NA,NA,50,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,44000,22000,NA,NA,NA,NA,50,25,NA,NA
4,Colombia,36,Masculino,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,RS,No,NA,DK,DK,NA,NA,NA,44000,874000,NA,50,1000,NA,1,Yes,0,DK,NA,NA,1,NA,NA,44000,88000,874000,437000,NA,NA,50,100,1000,500,NA,NA
5,Colombia,37,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,Yes,No,NA,Yes,Yes,No,NA,Yes,44000,44000,44000,50,50,50,1,Yes,0,Yes,0,Yes,1,1,1,44000,88000,44000,22000,44000,22000,50,100,50,25,50,25
6,Colombia,19,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,Yes,No,NA,DK,Yes,No,NA,DK,NA,NA,NA,44000,9000,NA,50,10,NA,1,No,1,No,NA,NA,0,0,NA,44000,88000,9000,18000,NA,NA,50,100,10,20,NA,NA
7,Colombia,21,Masculino,Primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,4368000,NA,NA,5000,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,4368000,2184000,NA,NA,NA,NA,5000,2500,NA,NA
8,Colombia,32,Masculino,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,437000,NA,NA,500,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,437000,218500,NA,NA,NA,NA,500,250,NA,NA
9,Colombia,23,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,DK,NA,NA,DK,NA,NA,NA,NA,874000,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,874000,NA,NA,NA,NA,NA,1000,NA,NA,NA
10,Colombia,50,Masculino,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,874000,NA,NA,1000,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,874000,437000,NA,NA,NA,NA,1000,500,NA,NA
11,Colombia,41,Femenino,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,DK,NA,NA,Yes,Yes,No,NA,NA,437000,17000,NA,500,20,NA,NA,NA,NA,1,No,NA,NA,0,NA,NA,437000,NA,17000,34000,NA,NA,500,NA,20,40
12,Colombia,43,Femenino,University completed,Vaccines are only available for private purchase,Yes,Yes,Yes,NA,RS,RS,NA,NA,No,NA,NA,NA,44000,437000,NA,50,500,NA,1,Yes,NA,NA,NA,NA,1,NA,NA,44000,88000,437000,NA,NA,NA,50,100,500,NA,NA,NA
13,Colombia,34,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,No,NA,No,No,NA,NA,NA,NA,874000,NA,NA,1000,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,874000,437000,NA,NA,NA,NA,1000,500,NA,NA
14,Colombia,55,Femenino,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,No,No,NA,No,No,NA,NA,NA,44000,437000,NA,50,500,NA,1,No,0,No,NA,NA,0,0,NA,44000,88000,437000,218500,NA,NA,50,100,500,250,NA,NA
15,Colombia,35,Masculino,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,No,NA,No,NA,NA,NA,NA,87000,NA,NA,100,NA,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,87000,174000,NA,NA,NA,NA,100,200,NA,NA
16,Colombia,44,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,DK,No,NA,No,DK,NA,NA,NA,349000,4368000,NA,400,5000,NA,NA,NA,0,No,NA,NA,NA,0,NA,349000,NA,4368000,2184000,NA,NA,400,NA,5000,2500,NA,NA
17,Colombia,55,Masculino,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,RS,RS,NA,NA,No,NA,NA,NA,NA,437000,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437000,NA,NA,NA,NA,NA,500,NA,NA,NA
18,Colombia,49,Masculino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,Yes,DK,NA,DK,DK,NA,NA,Yes,Yes,Yes,NA,44000,9000,9000,50,10,10,1,DK,NA,NA,1,Yes,NA,NA,1,44000,88000,9000,NA,9000,18000,50,100,10,NA,10,20
19,Colombia,48,Masculino,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,87000,NA,NA,100,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,87000,43500,NA,NA,NA,NA,100,50,NA,NA
20,Colombia,53,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,44000,NA,NA,50,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,44000,22000,NA,NA,NA,NA,50,25,NA,NA
21,Colombia,40,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,DK,No,NA,No,No,NA,NA,NA,44000,9000,NA,50,10,NA,NA,NA,0,No,NA,NA,NA,0,NA,44000,NA,9000,4500,NA,NA,50,NA,10,5,NA,NA
22,Colombia,23,Masculino,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,4368000,NA,NA,5000,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,4368000,2184000,NA,NA,NA,NA,5000,2500,NA,NA
23,Colombia,36,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,RS,Yes,RS,NA,Yes,DK,NA,NA,44000,44000,87000,50,50,100,1,Yes,1,RS,NA,NA,1,NA,NA,44000,88000,44000,88000,87000,NA,50,100,50,100,100,NA
24,Colombia,23,Masculino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,No,No,NA,No,No,NA,NA,NA,349000,4368000,NA,400,5000,NA,NA,NA,0,No,NA,NA,NA,0,NA,349000,NA,4368000,2184000,NA,NA,400,NA,5000,2500,NA,NA
25,Colombia,70,Masculino,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,No,NA,No,Yes,No,NA,Yes,44000,4368000,44000,50,5000,50,1,Yes,0,No,0,Yes,1,0,1,44000,88000,4368000,2184000,44000,22000,50,100,5000,2500,50,25
26,Colombia,66,Masculino,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,Yes,No,NA,No,NA,NA,NA,874000,44000,NA,1000,50,NA,1,Yes,1,No,NA,NA,1,0,NA,874000,1748000,44000,88000,NA,NA,1000,2000,50,100,NA,NA
27,Colombia,20,Masculino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,Yes,No,NA,No,Yes,No,NA,No,175000,437000,44000,200,500,50,NA,NA,0,No,0,No,NA,0,0,175000,NA,437000,218500,44000,22000,200,NA,500,250,50,25
28,Colombia,44,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,No,No,NA,No,No,NA,NA,NA,44000,874000,NA,50,1000,NA,1,Yes,0,No,NA,NA,1,0,NA,44000,88000,874000,437000,NA,NA,50,100,1000,500,NA,NA
29,Colombia,30,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,DK,NA,NA,Yes,Yes,No,NA,Yes,No,NA,DK,44000,874000,44000,50,1000,50,NA,NA,1,No,0,DK,NA,0,NA,44000,NA,874000,1748000,44000,22000,50,NA,1000,2000,50,25
30,Colombia,44,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,No,NA,Yes,Yes,No,NA,No,44000,874000,87000,50,1000,100,1,Yes,0,Yes,0,No,1,1,0,44000,88000,874000,437000,87000,43500,50,100,1000,500,100,50
31,Colombia,62,Masculino,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,437000,NA,NA,500,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,437000,218500,NA,NA,NA,NA,500,250,NA,NA
32,Colombia,70,Masculino,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,DK,NA,No,No,NA,RS,RS,NA,NA,NA,44000,437000,NA,50,500,NA,1,DK,0,RS,NA,NA,NA,NA,NA,44000,88000,437000,218500,NA,NA,50,100,500,250,NA,NA
33,Colombia,21,Femenino,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,RS,Yes,No,NA,Yes,Yes,No,NA,NA,9000,9000,NA,10,10,NA,NA,1,No,1,No,NA,0,0,NA,NA,9000,18000,9000,18000,NA,NA,10,20,10,20
34,Colombia,50,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,Yes,No,NA,No,DK,NA,NA,NA,NA,9000,NA,NA,10,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,9000,4500,NA,NA,NA,NA,10,5,NA,NA
35,Colombia,30,Masculino,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,4368000,NA,NA,5000,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,4368000,2184000,NA,NA,NA,NA,5000,2500,NA,NA
36,Colombia,33,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,44000,9000,17000,50,10,20,1,Yes,1,Yes,1,Yes,1,1,1,44000,88000,9000,18000,17000,34000,50,100,10,20,20,40
37,Colombia,34,Femenino,University completed,Do not know,No,NA,NA,NA,DK,No,NA,DK,DK,NA,NA,NA,NA,44000,NA,NA,50,NA,NA,NA,0,DK,NA,NA,NA,NA,NA,NA,NA,44000,22000,NA,NA,NA,NA,50,25,NA,NA
38,Colombia,35,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,DK,No,NA,No,DK,NA,NA,NA,349000,437000,NA,400,500,NA,NA,NA,0,No,NA,NA,NA,0,NA,349000,NA,437000,218500,NA,NA,400,NA,500,250,NA,NA
39,Colombia,36,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,No,No,NA,No,Yes,Yes,No,NA,175000,437000,17000,200,500,20,NA,NA,0,No,1,No,NA,0,0,175000,NA,437000,218500,17000,34000,200,NA,500,250,20,40
40,Colombia,19,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,Yes,DK,NA,Yes,No,NA,Yes,DK,NA,NA,NA,175000,87000,NA,200,100,NA,1,DK,0,Yes,NA,NA,NA,1,NA,175000,350000,87000,43500,NA,NA,200,400,100,50,NA,NA
41,Colombia,49,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,RS,NA,NA,RS,NA,NA,NA,NA,9000,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9000,NA,NA,NA,NA,NA,10,NA,NA,NA
